instancia,ciclo_ajustado,ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,ciclo_sequencial
1665,12,47.098,2.124,2357.2,7.986,10.159,146.65,120.59,2.227,10.123,9.908,9.786,68.448,35.227,41.082,38.437,30.641,0.551,12
1307,1,27.43,1.766,2817.4,0.001,9.713,190.94,0,0,0,9.179,9.103,69.202,44.457,49.473,46.578,39.82,0.595,13
1307,2,27.406,1.769,2885.6,0,9.719,190.93,0,0,0,9.158,9.071,0,44.367,49.473,46.559,39.832,0.617,14
1307,3,27.461,1.758,2887.6,0.001,9.727,190.8,0,0,0,9.118,9.028,0,44.25,49.426,46.566,39.809,0.649,15
1307,4,27.429,1.76,2885.8,0.003,9.706,191,0,0,0,9.132,9.053,0,44.207,49.383,46.574,39.82,0.661,16
1307,5,27.477,1.771,2881.8,0.005,9.721,190.82,0,0,0,9.169,9.083,0,44.191,49.367,46.566,39.805,0.666,17
1307,6,27.461,1.772,2880,0.005,9.731,190.74,0,0,0,9.168,9.089,0,44.117,49.297,46.559,39.82,0.666,18
1307,7,27.484,1.765,2883.6,0,9.738,190.84,0,0,0,9.128,9.032,0,44.031,49.297,46.566,39.809,0.665,19
1307,8,27.484,1.767,2884,0,9.724,190.81,0,0,0,9.114,9.03,0,44.035,49.285,46.566,39.82,0.677,20
1307,9,27.508,1.766,2883.8,0.001,9.701,190.82,0,0,0,9.149,9.052,0,44.035,49.285,46.562,39.809,0.673,21
1307,10,27.326,1.757,2736,14.641,9.682,155.27,125.94,4.125,0,9.163,9.076,54.031,43.953,49.207,46.562,39.836,0.688,22
1307,11,27.397,1.758,2278,8.269,9.711,144.91,118.92,2.187,0,9.13,9.042,54.031,43.969,49.191,46.566,39.832,0.66,23
1307,12,27.4,1.762,2265.6,7.913,9.704,144.47,118.64,2.281,0,9.104,9.028,69.764,43.953,49.203,46.559,39.836,0.619,24
1307,13,27.318,1.757,2266,8.085,9.694,144.27,118.43,2.195,0,9.116,9.031,69.764,43.871,49.215,46.566,39.836,0.616,25
1307,14,27.591,1.782,2261.8,7.928,9.691,144.17,118.59,2.102,0,9.141,9.054,69.075,43.953,49.219,46.66,39.836,0.614,26
1307,15,27.58,1.78,2259.8,7.959,9.699,144.17,118.45,2.047,0,9.139,9.058,69.075,44.039,49.223,46.648,39.836,0.597,27
1307,16,27.729,1.792,2261.4,7.865,9.733,144.12,118.54,2.055,0,9.118,9.023,69.054,44.062,49.246,46.656,39.844,0.583,28
1307,17,27.723,1.792,2257.8,7.781,9.739,143.94,118.19,2.172,0,9.132,9.04,69.054,44.059,49.262,46.668,39.844,0.574,29
1307,18,27.676,1.79,2261.4,8.016,9.719,144.17,118.41,2.109,0,9.175,9.085,69.167,44.113,49.273,46.672,39.836,0.568,30
119,1,19.704,1.507,2744.2,0,9.224,190.03,0.133,0,0,8.625,8.563,70.325,53.723,58.273,55.133,49.078,0.642,31
119,2,19.683,1.503,2837.8,0.001,9.261,190.13,0,0,0,8.593,8.545,0,53.734,58.277,55.133,49.098,0.673,32
119,3,19.706,1.503,2836,0.003,9.252,190.25,0,0,0,8.567,8.509,0,53.629,58.258,55.141,49.078,0.738,33
119,4,19.706,1.503,2835.8,0.007,9.249,190.16,0,0,0,8.561,8.497,0,53.586,58.191,55.141,49.086,0.764,34
119,5,19.92,1.531,2838,0.001,9.234,190.13,0,0,0,8.557,8.501,0,53.496,58.129,55.234,49.074,0.842,35
119,6,19.92,1.529,2836,0.003,9.237,190.03,0,0,0,8.563,8.506,0,53.414,58.07,55.234,49.078,0.856,36
119,7,19.92,1.526,2833.8,0.001,9.203,190.01,0,0.031,0,8.606,8.547,0,53.32,58.035,55.234,49.098,0.925,37
119,8,19.907,1.531,2835.8,0.003,9.199,190.22,0,0,0,8.622,8.564,0,53.312,58.02,55.227,49.09,0.869,38
119,9,19.862,1.52,2838,0.004,9.214,190.09,0,0,0,8.601,8.536,0,53.227,57.988,55.234,49.078,0.839,39
119,10,19.887,1.521,2429.2,12.5,9.225,149.37,121.44,3.109,0,8.549,8.492,75.38,53.219,57.945,55.227,49.113,0.78,40
119,11,19.852,1.519,2199.8,7.722,9.224,141.96,116.69,2.102,0,8.568,8.498,75.38,53.148,57.937,55.234,49.105,0.707,41
119,12,19.978,1.531,2203.6,7.744,9.185,142.01,116.52,2.078,0,8.569,8.503,68.307,53.164,57.922,55.223,49.113,0.678,42
119,13,19.986,1.542,2201.8,7.775,9.201,141.99,116.61,1.953,0,8.597,8.536,68.307,53.152,57.961,55.211,49.051,0.654,43
119,14,20.009,1.544,2201.8,7.731,9.197,142.23,116.89,1.969,0,8.592,8.528,68.317,53.242,57.945,55.227,49.062,0.636,44
119,15,20.067,1.53,2198,7.732,9.204,142.22,116.77,1.945,0,8.598,8.543,68.317,53.32,57.977,55.227,49.059,0.621,45
119,16,19.993,1.53,2201.8,7.759,9.21,142.1,116.67,2.055,0,8.581,8.514,68.306,53.402,58.008,55.223,49.051,0.608,46
119,17,20.208,1.551,2201.8,7.734,9.226,141.88,116.54,2.062,0,8.564,8.502,68.306,53.402,58.016,55.305,49.07,0.604,47
119,18,20.084,1.54,2199.6,7.702,9.226,141.83,116.4,1.953,0,8.568,8.508,68.294,53.406,58.02,55.316,49.102,0.612,48
119,19,20.084,1.545,2199.8,7.735,9.233,142.06,116.67,2,0,8.588,8.528,68.294,53.5,58.016,55.301,49.098,0.617,49
119,20,20.089,1.542,2346,7.891,9.232,152.32,127.26,2.008,0,8.604,8.549,69.884,53.562,58.02,55.309,49.113,0.632,50
119,21,20.12,1.565,2339.6,7.773,9.196,152.16,126.85,1.945,0,8.625,8.564,69.884,53.605,58.02,55.316,49.098,0.642,51
119,22,20.399,1.573,2337.8,7.676,9.243,152.21,126.81,1.914,0,8.608,8.554,69.85,53.641,58.035,55.387,49.039,0.655,52
119,23,20.45,1.57,2336,7.787,9.274,152.13,126.98,2.023,0,8.556,8.491,69.85,53.652,58.07,55.391,49.047,0.651,53
119,24,20.362,1.566,2337.6,7.702,9.248,152.24,126.92,1.953,0,8.557,8.502,69.567,53.727,58.102,55.387,49.047,0.642,54
119,25,20.208,1.554,2337.6,7.797,9.222,152.27,126.77,1.836,0,8.566,8.5,69.567,53.738,58.09,55.305,49.078,0.642,55
119,26,20.226,1.561,2337.6,7.699,9.217,152.08,126.83,2.008,0,8.604,8.55,69.685,53.652,58.102,55.309,49.059,0.648,56
119,27,20.068,1.561,2343.8,7.814,9.244,152.13,126.82,1.898,0,8.611,8.553,69.685,53.645,58.141,55.309,49.062,0.639,57
119,28,20.228,1.563,2335.8,7.695,9.219,152.09,126.56,2.008,0,8.616,8.559,69.676,53.652,58.152,55.316,49.062,0.638,58
119,29,20.193,1.556,2337.6,7.769,9.237,152.16,126.77,1.953,0,8.604,8.547,69.676,53.734,58.156,55.309,49.078,0.629,59
119,30,19.944,1.53,2469.4,7.546,9.256,161.93,136.62,2.109,0,8.569,8.512,56.494,53.734,58.184,55.223,49.059,0.641,60
1667,1,47.206,2.155,2920,0,10.179,191.6,0.094,0,9.734,9.967,9.846,67.672,35.648,41.316,38.445,30.613,0.558,1
1667,2,47.446,2.146,2953.2,0.003,10.208,191.62,0,0,9.684,9.931,9.812,0,35.68,41.312,38.414,30.605,0.568,2
1667,3,47.156,2.148,2951.2,0,10.182,191.54,0,0,9.705,9.932,9.81,0,35.598,41.328,38.414,30.602,0.576,3
1667,4,47.301,2.175,2952,0.001,10.181,191.46,0,0,9.729,9.974,9.853,0,35.508,41.25,38.426,30.605,0.58,4
1667,5,47.594,2.182,2951.8,0.001,10.224,191.44,0,0,9.729,9.95,9.828,0,35.516,41.262,38.508,30.613,0.581,5
1667,6,47.463,2.165,2952.2,0,10.196,191.46,0,0,9.67,9.918,9.802,0,35.422,41.242,38.496,30.605,0.584,6
1667,7,47.537,2.17,2951.4,0.003,10.182,191.55,0,0,9.727,9.95,9.825,0,35.414,41.211,38.508,30.613,0.585,7
1667,8,47.594,2.171,2951.8,0,10.186,191.44,0,0,9.701,9.955,9.84,0,35.328,41.18,38.5,30.621,0.589,8
1667,9,47.202,2.149,2952,0.001,10.182,191.48,0,0,9.678,9.91,9.772,0,35.32,41.148,38.512,30.621,0.586,9
1667,10,47.136,2.129,2531.4,11.736,10.181,152.84,124.69,3.531,10.132,9.908,9.794,68.925,35.242,41.129,38.418,30.633,0.593,10
1667,11,47.169,2.135,2366.8,8.138,10.18,147.06,121.02,2.391,10.171,9.931,9.823,68.925,35.254,41.137,38.445,30.652,0.578,11
1667,12,47.147,2.142,2358.6,8.064,10.169,146.81,120.65,2.414,10.146,9.912,9.801,68.201,35.25,41.129,38.445,30.629,0.556,12
1667,13,47.131,2.129,2357.2,7.863,10.174,146.66,120.49,2.328,10.097,9.88,9.769,68.201,35.25,41.141,38.512,30.641,0.554,13
1667,14,47.408,2.159,2355.4,7.833,10.167,146.69,120.81,2.32,10.154,9.923,9.809,67.616,35.332,41.137,38.508,30.633,0.542,14
1667,15,47.359,2.153,2354,7.934,10.176,146.76,120.51,2.375,10.163,9.941,9.822,67.616,35.332,41.148,38.52,30.645,0.546,15
1667,16,47.655,2.184,2355.6,7.993,10.192,146.53,120.57,2.445,10.148,9.914,9.792,67.633,35.414,41.156,38.531,30.629,0.541,16
1667,17,47.138,2.169,2352.2,7.817,10.169,146.66,120.72,2.273,10.149,9.92,9.802,67.633,35.414,41.148,38.559,30.641,0.526,17
1667,18,47.382,2.183,2355.2,7.953,10.187,146.69,120.52,2.352,10.169,9.957,9.839,67.525,35.402,41.148,38.613,30.641,0.514,18
1307,1,27.43,1.766,2817.4,0.001,9.713,190.94,0,0,0,9.179,9.103,69.202,44.457,49.473,46.578,39.82,0.595,19
1307,2,27.406,1.769,2885.6,0,9.719,190.93,0,0,0,9.158,9.071,0,44.367,49.473,46.559,39.832,0.617,20
1307,3,27.461,1.758,2887.6,0.001,9.727,190.8,0,0,0,9.118,9.028,0,44.25,49.426,46.566,39.809,0.649,21
1307,4,27.429,1.76,2885.8,0.003,9.706,191,0,0,0,9.132,9.053,0,44.207,49.383,46.574,39.82,0.661,22
1307,5,27.477,1.771,2881.8,0.005,9.721,190.82,0,0,0,9.169,9.083,0,44.191,49.367,46.566,39.805,0.666,23
1307,6,27.461,1.772,2880,0.005,9.731,190.74,0,0,0,9.168,9.089,0,44.117,49.297,46.559,39.82,0.666,24
1307,7,27.484,1.765,2883.6,0,9.738,190.84,0,0,0,9.128,9.032,0,44.031,49.297,46.566,39.809,0.665,25
1307,8,27.484,1.767,2884,0,9.724,190.81,0,0,0,9.114,9.03,0,44.035,49.285,46.566,39.82,0.677,26
1307,9,27.508,1.766,2883.8,0.001,9.701,190.82,0,0,0,9.149,9.052,0,44.035,49.285,46.562,39.809,0.673,27
1307,10,27.326,1.757,2736,14.641,9.682,155.27,125.94,4.125,0,9.163,9.076,54.031,43.953,49.207,46.562,39.836,0.688,28
1307,11,27.397,1.758,2278,8.269,9.711,144.91,118.92,2.187,0,9.13,9.042,54.031,43.969,49.191,46.566,39.832,0.66,29
1307,12,27.4,1.762,2265.6,7.913,9.704,144.47,118.64,2.281,0,9.104,9.028,69.764,43.953,49.203,46.559,39.836,0.619,30
1307,13,27.318,1.757,2266,8.085,9.694,144.27,118.43,2.195,0,9.116,9.031,69.764,43.871,49.215,46.566,39.836,0.616,31
1307,14,27.591,1.782,2261.8,7.928,9.691,144.17,118.59,2.102,0,9.141,9.054,69.075,43.953,49.219,46.66,39.836,0.614,32
1307,15,27.58,1.78,2259.8,7.959,9.699,144.17,118.45,2.047,0,9.139,9.058,69.075,44.039,49.223,46.648,39.836,0.597,33
1307,16,27.729,1.792,2261.4,7.865,9.733,144.12,118.54,2.055,0,9.118,9.023,69.054,44.062,49.246,46.656,39.844,0.583,34
1307,17,27.723,1.792,2257.8,7.781,9.739,143.94,118.19,2.172,0,9.132,9.04,69.054,44.059,49.262,46.668,39.844,0.574,35
1307,18,27.676,1.79,2261.4,8.016,9.719,144.17,118.41,2.109,0,9.175,9.085,69.167,44.113,49.273,46.672,39.836,0.568,36
1307,19,27.888,1.809,2261.4,7.862,9.7,144.08,118.51,2.062,0,9.177,9.098,69.167,44.195,49.273,46.75,39.855,0.566,37
1307,20,27.854,1.803,2393.4,8.009,9.721,154.13,128.67,2.117,0,9.151,9.053,56.304,44.195,49.277,46.75,39.844,0.573,38
1307,21,27.901,1.807,2391.6,7.907,9.71,154.02,128.49,2.133,0,9.115,9.031,56.304,44.195,49.285,46.727,39.844,0.593,39
1307,22,27.836,1.807,2393.4,7.732,9.717,154.05,128.51,2.187,0,9.148,9.065,69.925,44.184,49.277,46.727,39.836,0.607,40
1307,23,27.865,1.805,2397.8,7.812,9.71,154.08,128.62,2.102,0,9.163,9.075,69.925,44.207,49.285,46.75,39.836,0.623,41
1307,24,27.775,1.79,2396,7.766,9.706,154,128.46,2.172,0,9.139,9.046,69.673,44.285,49.277,46.687,39.836,0.631,42
1677,1,47.028,2.147,2942,0.001,10.225,191.03,0.078,0,10.159,9.929,9.818,64.11,35.66,41.305,38.418,30.629,0.534,43
1677,2,46.967,2.148,2981.4,0,10.182,191,0,0,10.211,9.983,9.858,0,35.594,41.203,38.426,30.621,0.571,44
1677,3,47.029,2.144,2981.8,0,10.211,191.06,0,0,10.178,9.943,9.821,0,35.5,41.25,38.437,30.621,0.588,45
1677,4,47.003,2.145,2979.8,0.004,10.209,191.02,0,0,10.146,9.924,9.807,0,35.5,41.246,38.441,30.629,0.586,46
1677,5,46.956,2.154,2981.6,0,10.192,191.19,0,0,10.206,9.969,9.853,0,35.414,41.234,38.414,30.613,0.582,47
1677,6,46.979,2.157,2981.6,0.001,10.203,191.13,0,0,10.191,9.972,9.854,0,35.422,41.219,38.445,30.629,0.588,48
1677,7,47.04,2.152,2981.6,0,10.221,191.22,0,0,10.171,9.928,9.807,0,35.41,41.164,38.441,30.621,0.587,49
1677,8,47.087,2.151,2983.6,0.001,10.196,191.09,0,0,10.143,9.924,9.802,0,35.348,41.152,38.43,30.613,0.603,50
1677,9,47.087,2.147,2982,0,10.174,191.08,0,0,10.179,9.953,9.83,0,35.316,41.148,38.43,30.621,0.603,51
1677,10,46.793,2.138,2896.4,17.408,10.185,163.19,131.03,5.328,10.158,9.925,9.797,35.548,35.254,41.137,38.426,30.645,0.619,52
1677,11,46.863,2.135,2400,7.944,10.189,146.98,120.96,2.305,10.116,9.894,9.772,35.548,35.25,41.109,38.437,30.641,0.578,53
1677,12,46.769,2.132,2384,7.775,10.18,146.23,120.22,2.25,10.171,9.937,9.811,65.074,35.254,41.109,38.43,30.652,0.546,54
1677,13,46.805,2.129,2385.4,7.504,10.184,146.19,120.2,2.305,10.155,9.932,9.818,65.074,35.242,41.125,38.441,30.645,0.534,55
1677,14,46.84,2.131,2381.8,7.809,10.199,146.16,120.02,2.305,10.11,9.896,9.781,64.337,35.328,41.102,38.441,30.645,0.526,56
1677,15,46.801,2.136,2381.8,7.579,10.203,146.13,120.25,2.227,10.155,9.92,9.795,64.337,35.426,41.121,38.437,30.656,0.515,57
1677,16,47.066,2.164,2381.8,7.706,10.194,146.02,120.08,2.227,10.178,9.967,9.854,63.948,35.426,41.113,38.535,30.645,0.511,58
1677,17,47.087,2.167,2379.8,7.606,10.217,146.03,120.19,2.141,10.182,9.946,9.83,63.948,35.434,41.125,38.512,30.656,0.524,59
1677,18,47.378,2.184,2381.4,7.435,10.218,146.1,120.07,2.32,10.127,9.903,9.795,63.81,35.426,41.121,38.578,30.633,0.518,60
1667,1,47.206,2.155,2920,0,10.179,191.6,0.094,0,9.734,9.967,9.846,67.672,35.648,41.316,38.445,30.613,0.558,1
1667,2,47.446,2.146,2953.2,0.003,10.208,191.62,0,0,9.684,9.931,9.812,0,35.68,41.312,38.414,30.605,0.568,2
1667,3,47.156,2.148,2951.2,0,10.182,191.54,0,0,9.705,9.932,9.81,0,35.598,41.328,38.414,30.602,0.576,3
1667,4,47.301,2.175,2952,0.001,10.181,191.46,0,0,9.729,9.974,9.853,0,35.508,41.25,38.426,30.605,0.58,4
1667,5,47.594,2.182,2951.8,0.001,10.224,191.44,0,0,9.729,9.95,9.828,0,35.516,41.262,38.508,30.613,0.581,5
1667,6,47.463,2.165,2952.2,0,10.196,191.46,0,0,9.67,9.918,9.802,0,35.422,41.242,38.496,30.605,0.584,6
1667,7,47.537,2.17,2951.4,0.003,10.182,191.55,0,0,9.727,9.95,9.825,0,35.414,41.211,38.508,30.613,0.585,7
1667,8,47.594,2.171,2951.8,0,10.186,191.44,0,0,9.701,9.955,9.84,0,35.328,41.18,38.5,30.621,0.589,8
1667,9,47.202,2.149,2952,0.001,10.182,191.48,0,0,9.678,9.91,9.772,0,35.32,41.148,38.512,30.621,0.586,9
1667,10,47.136,2.129,2531.4,11.736,10.181,152.84,124.69,3.531,10.132,9.908,9.794,68.925,35.242,41.129,38.418,30.633,0.593,10
1667,11,47.169,2.135,2366.8,8.138,10.18,147.06,121.02,2.391,10.171,9.931,9.823,68.925,35.254,41.137,38.445,30.652,0.578,11
1667,12,47.147,2.142,2358.6,8.064,10.169,146.81,120.65,2.414,10.146,9.912,9.801,68.201,35.25,41.129,38.445,30.629,0.556,12
1667,13,47.131,2.129,2357.2,7.863,10.174,146.66,120.49,2.328,10.097,9.88,9.769,68.201,35.25,41.141,38.512,30.641,0.554,13
1667,14,47.408,2.159,2355.4,7.833,10.167,146.69,120.81,2.32,10.154,9.923,9.809,67.616,35.332,41.137,38.508,30.633,0.542,14
1667,15,47.359,2.153,2354,7.934,10.176,146.76,120.51,2.375,10.163,9.941,9.822,67.616,35.332,41.148,38.52,30.645,0.546,15
1667,16,47.655,2.184,2355.6,7.993,10.192,146.53,120.57,2.445,10.148,9.914,9.792,67.633,35.414,41.156,38.531,30.629,0.541,16
1667,17,47.138,2.169,2352.2,7.817,10.169,146.66,120.72,2.273,10.149,9.92,9.802,67.633,35.414,41.148,38.559,30.641,0.526,17
1667,18,47.382,2.183,2355.2,7.953,10.187,146.69,120.52,2.352,10.169,9.957,9.839,67.525,35.402,41.148,38.613,30.641,0.514,18
1667,19,47.547,2.18,2356.2,7.869,10.187,146.59,120.43,2.57,10.184,9.939,9.819,67.525,35.426,41.164,38.621,30.633,0.522,19
1667,20,47.642,2.183,2487.2,7.823,10.196,156.71,130.65,2.336,10.116,9.91,9.797,55.005,35.504,41.074,38.633,30.652,0.529,20
1667,21,47.374,2.207,2490.2,7.943,10.19,156.61,130.56,2.328,10.187,9.945,9.83,55.005,35.516,41.074,38.59,30.641,0.53,21
1667,22,47.688,2.187,2491.6,7.84,10.214,156.63,130.46,2.414,10.169,9.964,9.843,68.372,35.504,41.156,38.695,30.645,0.54,22
1667,23,47.655,2.192,2490.2,7.629,10.192,156.69,130.64,2.391,10.155,9.918,9.793,68.372,35.504,41.164,38.586,30.641,0.542,23
1667,24,47.678,2.179,2493.2,7.859,10.181,156.66,130.77,2.281,10.137,9.925,9.81,68.524,35.516,41.156,38.594,30.652,0.541,24
1667,25,47.641,2.189,2491.2,7.896,10.185,156.61,130.54,2.297,10.18,9.957,9.832,68.524,35.508,41.184,38.656,30.652,0.543,25
1667,26,47.679,2.195,2491.6,7.898,10.189,156.58,130.63,2.383,10.151,9.93,9.819,68.382,35.574,41.121,38.594,30.641,0.54,26
1667,27,47.666,2.188,2489.6,7.959,10.181,156.58,130.56,2.273,10.148,9.91,9.789,68.382,35.555,41.195,38.645,30.656,0.536,27
1667,28,47.749,2.189,2491.2,7.768,10.203,156.59,130.39,2.328,10.177,9.953,9.835,68.498,35.594,41.242,38.594,30.641,0.538,28
1667,29,47.506,2.168,2488.8,7.696,10.198,156.56,130.62,2.242,10.203,9.965,9.849,68.498,35.676,41.234,38.578,30.617,0.534,29
1667,30,47.483,2.17,2624,7.797,10.194,166.48,140.46,2.328,10.139,9.913,9.802,57.286,35.68,41.223,38.574,30.652,0.539,30
67,1,19.833,1.537,2730.8,0.005,9.363,189.98,0.328,0,0,8.644,8.59,69.388,52.137,56.84,53.539,47.426,0.629,31
67,2,20.163,1.567,2843.6,0.001,9.347,190.19,0,0,0,8.656,8.599,0,52.086,56.832,53.555,47.328,0.68,32
67,3,20.344,1.587,2844,0,9.331,190.28,0,0.008,0,8.675,8.619,0,52.051,56.781,53.59,47.332,0.691,33
67,4,20.331,1.591,2842,0.001,9.314,190.09,0,0,0,8.689,8.63,0,51.977,56.781,53.629,47.34,0.714,34
67,5,20.354,1.585,2841.8,0.006,9.317,190.13,0,0,0,8.693,8.641,0,51.887,56.754,53.629,47.332,0.711,35
67,6,20.056,1.561,2841.8,0.003,9.328,190.13,0,0,0,8.686,8.623,0,51.891,56.73,53.633,47.422,0.712,36
67,7,20.069,1.561,2840,0,9.339,190.25,0,0,0,8.646,8.591,0,51.742,56.672,53.621,47.422,0.741,37
67,8,19.899,1.547,2841.8,0,9.327,190.12,0,0,0,8.644,8.583,0,51.738,56.602,53.629,47.488,0.857,38
67,9,19.963,1.552,2838,0.001,9.301,190.03,0,0.039,0,8.663,8.615,0,51.723,56.551,53.633,47.473,0.927,39
67,10,19.877,1.547,2440.8,12.398,9.304,149.63,121.59,3.273,0,8.691,8.63,76.421,51.648,56.496,53.633,47.473,0.902,40
67,11,19.814,1.541,2211.8,7.776,9.316,142.68,117.13,2.086,0,8.697,8.637,76.421,51.566,56.5,53.723,47.5,0.791,41
67,12,19.851,1.534,2211.8,7.763,9.328,142.28,116.77,1.969,0,8.681,8.629,68.649,51.488,56.5,53.684,47.504,0.707,42
67,13,20.179,1.571,2211.6,7.777,9.321,142.71,117.24,1.953,0,8.641,8.578,68.649,51.566,56.5,53.715,47.445,0.664,43
67,14,20.109,1.569,2209.8,7.779,9.314,142.33,117.03,1.937,0,8.639,8.578,68.629,51.648,56.508,53.723,47.445,0.632,44
67,15,20.084,1.569,2206,7.753,9.319,142.63,117.11,1.922,0,8.668,8.604,68.629,51.715,56.523,53.723,47.477,0.626,45
67,16,20.119,1.572,2209.8,7.774,9.297,142.44,117.03,2.047,0,8.689,8.626,68.515,51.738,56.527,53.715,47.473,0.614,46
67,17,20.086,1.566,2209.8,7.766,9.312,142.31,116.92,1.992,0,8.701,8.639,68.515,51.805,56.582,53.75,47.512,0.604,47
67,18,20.078,1.57,2207.8,7.787,9.323,142.5,116.87,2.023,0,8.697,8.642,68.521,51.887,56.602,53.727,47.516,0.602,48
67,19,19.99,1.564,2209.6,7.77,9.33,142.34,117,1.937,0,8.665,8.613,68.521,51.887,56.605,53.754,47.523,0.608,49
67,20,19.973,1.563,2349.8,7.781,9.345,152.88,127.34,2.055,0,8.653,8.592,66.36,51.969,56.633,53.727,47.527,0.615,50
67,21,20.169,1.581,2347.8,7.753,9.349,152.7,127.06,2.023,0,8.68,8.623,66.36,52.043,56.66,53.793,47.539,0.629,51
67,22,20.181,1.579,2345.8,7.71,9.325,152.65,127.31,2,0,8.712,8.66,70.137,52.062,56.676,53.805,47.523,0.632,52
67,23,20.227,1.582,2345.6,7.653,9.338,152.48,126.98,1.977,0,8.701,8.65,70.137,52.098,56.676,53.812,47.492,0.64,53
67,24,20.066,1.565,2346,7.704,9.321,152.44,127.1,1.914,0,8.691,8.635,69.932,52.113,56.684,53.715,47.488,0.634,54
67,25,20.048,1.566,2346,7.686,9.354,152.43,127.19,2.008,0,8.663,8.617,69.932,52.109,56.738,53.738,47.531,0.629,55
67,26,20.028,1.566,2347.6,7.674,9.363,152.54,127.21,2.102,0,8.645,8.595,69.963,52.117,56.758,53.77,47.551,0.628,56
67,27,20.011,1.564,2345.8,7.726,9.339,152.56,127.32,2.086,0,8.665,8.617,69.963,52.125,56.746,53.738,47.516,0.638,57
67,28,19.617,1.535,2345.8,7.775,9.33,152.68,127.14,2.047,0,8.703,8.644,70.036,52.117,56.758,53.715,47.617,0.624,58
67,29,19.655,1.54,2349.2,7.671,9.348,152.49,127.18,2.078,0,8.717,8.661,70.036,52.129,56.758,53.711,47.617,0.615,59
67,30,19.744,1.54,2473.4,7.634,9.343,162.44,137.06,1.836,0,8.724,8.66,56.721,52.129,56.758,53.711,47.609,0.619,60
1667,1,47.206,2.155,2920,0,10.179,191.6,0.094,0,9.734,9.967,9.846,67.672,35.648,41.316,38.445,30.613,0.558,1
1667,2,47.446,2.146,2953.2,0.003,10.208,191.62,0,0,9.684,9.931,9.812,0,35.68,41.312,38.414,30.605,0.568,2
1667,3,47.156,2.148,2951.2,0,10.182,191.54,0,0,9.705,9.932,9.81,0,35.598,41.328,38.414,30.602,0.576,3
1667,4,47.301,2.175,2952,0.001,10.181,191.46,0,0,9.729,9.974,9.853,0,35.508,41.25,38.426,30.605,0.58,4
1667,5,47.594,2.182,2951.8,0.001,10.224,191.44,0,0,9.729,9.95,9.828,0,35.516,41.262,38.508,30.613,0.581,5
1667,6,47.463,2.165,2952.2,0,10.196,191.46,0,0,9.67,9.918,9.802,0,35.422,41.242,38.496,30.605,0.584,6
1667,7,47.537,2.17,2951.4,0.003,10.182,191.55,0,0,9.727,9.95,9.825,0,35.414,41.211,38.508,30.613,0.585,7
1667,8,47.594,2.171,2951.8,0,10.186,191.44,0,0,9.701,9.955,9.84,0,35.328,41.18,38.5,30.621,0.589,8
1667,9,47.202,2.149,2952,0.001,10.182,191.48,0,0,9.678,9.91,9.772,0,35.32,41.148,38.512,30.621,0.586,9
1667,10,47.136,2.129,2531.4,11.736,10.181,152.84,124.69,3.531,10.132,9.908,9.794,68.925,35.242,41.129,38.418,30.633,0.593,10
1667,11,47.169,2.135,2366.8,8.138,10.18,147.06,121.02,2.391,10.171,9.931,9.823,68.925,35.254,41.137,38.445,30.652,0.578,11
1667,12,47.147,2.142,2358.6,8.064,10.169,146.81,120.65,2.414,10.146,9.912,9.801,68.201,35.25,41.129,38.445,30.629,0.556,12
1142,1,27.59,1.737,2791.2,0.005,9.69,190.52,0.195,0,0,9.154,9.075,66.521,44.687,49.723,46.926,40.254,0.615,13
1142,2,27.505,1.742,2895.8,0,9.675,190.56,0,0,0,9.164,9.08,0,44.605,49.707,46.914,40.246,0.628,14
1142,3,27.558,1.744,2899.6,0,9.689,190.77,0,0,0,9.147,9.058,0,44.609,49.691,46.918,40.246,0.664,15
1142,4,27.608,1.742,2901.6,0,9.707,190.63,0,0,0,9.112,9.022,0,44.531,49.613,46.918,40.254,0.689,16
1142,5,27.405,1.745,2897.8,0.001,9.697,190.63,0,0,0,9.134,9.043,0,44.43,49.609,46.91,40.238,0.683,17
1142,6,27.439,1.743,2899.8,0,9.69,190.69,0,0,0,9.172,9.09,0,44.449,49.57,46.926,40.242,0.676,18
1142,7,27.494,1.744,2898,0.001,9.689,190.65,0,0,0,9.171,9.082,0,44.449,49.555,46.93,40.242,0.679,19
1142,8,27.381,1.741,2897.8,0,9.71,190.55,0,0,0,9.125,9.045,0,44.363,49.555,46.91,40.258,0.685,20
1142,9,27.538,1.744,2897.8,0,9.687,190.56,0,0,0,9.097,9.014,0,44.301,49.543,46.902,40.254,0.692,21
1142,10,27.441,1.736,2592.2,13.181,9.686,152.43,123.52,3.664,0,9.132,9.045,66.277,44.25,49.488,46.926,40.273,0.673,22
1142,11,27.445,1.731,2290,7.863,9.673,144.01,118.2,2.133,0,9.159,9.077,66.277,44.297,49.383,46.937,40.27,0.631,23
1142,12,27.538,1.737,2274,7.824,9.68,143.76,117.99,2.141,0,9.141,9.063,67.005,44.297,49.473,46.914,40.258,0.61,24
1142,13,27.394,1.733,2279,7.731,9.687,143.68,117.99,2.008,0,9.104,9.01,67.005,44.289,49.473,46.91,40.27,0.608,25
1142,14,27.477,1.73,2275.8,7.608,9.694,143.73,117.91,2.062,0,9.101,9.017,66.374,44.289,49.504,46.91,40.273,0.612,26
